time,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ
10652.121,-0.823,-0.057,0.588,1.968,40.993,1.929,-17.3606944077709,-4.1673851992459,-43.5652979489693
10687.624,-0.823,-0.057,0.588,1.968,40.993,1.929,-20.2816537416763,-2.72615424063016,-42.3927071596552
10730.906,-0.85,-0.089,0.531,-1.133,39.116,0.87,-20.2816537416763,-2.72615424063016,-42.3927071596552
10784.864,-0.85,-0.089,0.531,-1.133,39.116,0.87,-23.6679810225299,-3.45027287226027,-41.3764618089164
10811.743,-0.864,-0.09,0.442,-2.66,43.067,1.99,-23.6679810225299,-3.45027287226027,-41.3764618089164
10884.149,-0.864,-0.09,0.442,-2.66,43.067,1.99,-25.0681046909528,-3.81275940177315,-40.6729073353279
10890.525,-0.896,-0.066,0.455,-2.493,26.718,4.427,-25.0681046909528,-3.81275940177315,-40.6729073353279
10969.077,-0.926,-0.049,0.432,0.196,18.869,4.873,-25.0681046909528,-3.81275940177315,-40.6729073353279
10984.071,-0.926,-0.049,0.432,0.196,18.869,4.873,-25.7699352546684,-3.21152023906361,-40.5165618967527
11049.905,-0.921,-0.064,0.38,-3.342,16.528,0.7,-25.7699352546684,-3.21152023906361,-40.5165618967527
11081.311,-0.921,-0.064,0.38,-3.342,16.528,0.7,-25.8851577577893,-3.21254555193841,-40.0475255810271
11128.69,-0.934,-0.069,0.376,-4.445,16.975,-1.894,-25.8851577577893,-3.21254555193841,-40.0475255810271
11180.595,-0.934,-0.069,0.376,-4.445,16.975,-1.894,-28.5740048341913,-2.37135755767828,-39.5784892653015
11207.471,-0.94,-0.073,0.371,-1.82,22.12,-3.692,-28.5740048341913,-2.37135755767828,-39.5784892653015
11279.876,-0.94,-0.073,0.371,-1.82,22.12,-3.692,-29.62207462324,-3.45591209307168,-38.7967620724254
11288.304,-0.95,-0.089,0.317,1.273,20.16,-1.4,-29.62207462324,-3.45591209307168,-38.7967620724254
11366.855,-0.949,-0.072,0.333,3.211,9.493,2.126,-29.62207462324,-3.45591209307168,-38.7967620724254
11379.807,-0.949,-0.072,0.333,3.211,9.493,2.126,-29.3857713635738,-3.5775953636383,-38.1713803181246
11447.686,-0.953,-0.065,0.282,4.983,10.565,3.237,-29.3857713635738,-3.5775953636383,-38.1713803181246
11477.037,-0.953,-0.065,0.282,4.983,10.565,3.237,-29.7407145303849,-3.45488678019687,-39.265798388151
11526.467,-0.961,-0.073,0.282,1.513,6.129,0.813,-29.7407145303849,-3.45488678019687,-39.265798388151
11576.324,-0.961,-0.073,0.282,1.513,6.129,0.813,-29.2649764650137,-4.541662826819,-37.4678258445361
11605.256,-0.963,-0.056,0.297,2.104,1.977,1.863,-29.2649764650137,-4.541662826819,-37.4678258445361
11675.607,-0.963,-0.056,0.297,2.104,1.977,1.863,-30.7895568432558,-4.17832186991045,-38.5622439145626
11686.085,-0.949,-0.068,0.298,1.47,-0.949,1.001,-30.7895568432558,-4.17832186991045,-38.5622439145626
11764.629,-0.963,-0.048,0.288,2.428,-0.56,3.425,-30.7895568432558,-4.17832186991045,-38.5622439145626
11773.471,-0.963,-0.048,0.288,2.428,-0.56,3.425,-30.7875240554582,-5.26150932147077,-38.4058984759874
11843.414,-0.965,-0.069,0.295,-0.336,-1.601,0.743,-30.7875240554582,-5.26150932147077,-38.4058984759874
11872.761,-0.965,-0.069,0.295,-0.336,-1.601,0.743,-29.0357927970642,-4.65907396040729,-38.7967620724254
11924.253,-0.964,-0.037,0.296,2.813,-1.369,3.74,-29.0357927970642,-4.65907396040729,-38.7967620724254
11972.051,-0.964,-0.037,0.296,2.813,-1.369,3.74,-28.9171943406696,-5.2611675505125,-38.5622439145626
12003.034,-0.961,-0.038,0.289,4.952,-4.598,2.323,-28.9171943406696,-5.2611675505125,-38.5622439145626
12071.329,-0.961,-0.038,0.289,4.952,-4.598,2.323,-29.2700218181825,-5.01950986417058,-39.0312802302882
12081.806,-0.956,-0.045,0.316,3.408,-11.392,-0.958,-29.2700218181825,-5.01950986417058,-39.0312802302882
12162.409,-0.947,-0.053,0.347,0.577,-16.406,-1.903,-29.2700218181825,-5.01950986417058,-39.0312802302882
12169.202,-0.947,-0.053,0.347,0.577,-16.406,-1.903,-28.2204888086734,-5.01780100937924,-39.8130074231643
12241.189,-0.93,-0.066,0.371,-2.428,-18.449,-1.185,-28.2204888086734,-5.01780100937924,-39.8130074231643
12268.483,-0.93,-0.066,0.371,-2.428,-18.449,-1.185,-27.1662781311647,-5.74021078621801,-39.5784892653015
12322.021,-0.92,-0.05,0.348,-0.704,-14.686,1.168,-27.1662781311647,-5.74021078621801,-39.5784892653015
12367.768,-0.92,-0.05,0.348,-0.704,-14.686,1.168,-25.4164181548339,-5.01643392554617,-40.4383891774651
12400.807,-0.895,-0.043,0.348,4.554,-21.656,3.031,-25.4164181548339,-5.01643392554617,-40.4383891774651
12467.058,-0.895,-0.043,0.348,4.554,-21.656,3.031,-23.4331049041569,-6.09569101108642,-42.0800162825048
12479.585,-0.908,-0.025,0.537,9.743,-38.758,3.696,-23.4331049041569,-6.09569101108642,-42.0800162825048
12560.187,-0.881,-0.044,0.467,4.681,-25.685,0.66,-23.4331049041569,-6.09569101108642,-42.0800162825048
12564.93,-0.881,-0.044,0.467,4.681,-25.685,0.66,-22.613894697272,-5.97588748079026,-41.845498124642
12638.967,-0.871,-0.021,0.525,5.608,-28.494,3.898,-22.613894697272,-5.97588748079026,-41.845498124642
12664.213,-0.871,-0.021,0.525,5.608,-28.494,3.898,-19.5731573958636,-8.26035705941574,-42.5490525982304
12717.751,-0.857,0,0.551,5.578,-28.923,5.057,-19.5731573958636,-8.26035705941574,-42.5490525982304
12763.5,-0.857,0,0.551,5.578,-28.923,5.057,-17.0048182857197,-6.45458894553751,-43.0180889139561
12798.586,-0.824,-0.014,0.634,0.315,-32.668,0.581,-17.0048182857197,-6.45458894553751,-43.0180889139561
12862.779,-0.824,-0.014,0.634,0.315,-32.668,0.581,-13.9670488759823,-7.17443544018927,-43.9561615454073
12877.357,-0.794,-0.01,0.632,-1.872,-27.466,-1.185,-13.9670488759823,-7.17443544018927,-43.9561615454073
12955.916,-0.794,-0.01,0.632,-0.494,-27.514,-1.299,-13.9670488759823,-7.17443544018927,-43.9561615454073
12958.291,-0.752,-0.023,0.607,-0.494,-27.514,-1.299,-13.9670488759823,-7.17443544018927,-43.9561615454073
12960.667,-0.752,-0.023,0.607,-0.494,-27.514,-1.299,-13.9670488759823,-7.17443544018927,-43.9561615454073
