time,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ
536324.484,0.012,-0.04,1.016,0.376,0.078,-0.131,1.30338186305695,11.6965162908445,-45.9579548908422
536347.679,0.012,-0.04,1.016,0.376,0.078,-0.131,1.12518279567348,10.4140071010152,-44.860535000716
536403.261,0.015,-0.043,1.026,0.481,0.056,-0.245,1.12518279567348,10.4140071010152,-44.860535000716
536446.967,0.015,-0.043,1.026,0.481,0.056,-0.245,1.43240823127297,9.76659673771358,-47.4211814110104
536484.097,0.011,-0.049,1.009,0.599,0.756,-0.293,1.43240823127297,9.76659673771358,-47.4211814110104
536544.207,0.011,-0.049,1.009,0.599,0.756,-0.293,0.940616929396069,11.0515199543613,-47.2992458676631
536562.886,0.013,-0.051,1.002,0.148,0.315,0.14,0.940616929396069,11.0515199543613,-47.2992458676631
536641.444,0.013,-0.051,1.002,-0.183,-0.953,1.238,0.940616929396069,11.0515199543613,-47.2992458676631
536643.819,0.008,-0.039,1.024,-0.183,-0.953,1.238,1.49961855629451,8.05248063901649,-48.0308591277472
536722.267,0.01,-0.031,1.017,-0.131,-0.411,1.181,1.49961855629451,8.05248063901649,-48.0308591277472
536743.414,0.01,-0.031,1.017,-0.131,-0.411,1.181,1.12544101908013,10.4111102688331,-46.3237615208842
536801.045,0.009,-0.036,1.024,0.297,-0.363,0.039,1.12544101908013,10.4111102688331,-46.3237615208842
536842.699,0.009,-0.036,1.024,0.297,-0.363,0.039,1.07167231656878,8.48263913179318,-47.0553747809684
536881.876,0.012,-0.049,1.019,0.625,0.511,-0.721,1.07167231656878,8.48263913179318,-47.0553747809684
536939.93,0.012,-0.049,1.019,0.625,0.511,-0.721,1.49323232842933,9.7673209457591,-47.0553747809684
536960.659,0.013,-0.05,1.016,0.752,0.853,-0.188,1.49323232842933,9.7673209457591,-47.0553747809684
537039.218,0.013,-0.05,1.016,0.752,0.853,-0.188,0.762568492333141,9.7673209457591,-47.0553747809684
537041.493,0.011,-0.042,1.007,0.546,0.704,0.415,0.762568492333141,9.7673209457591,-47.0553747809684
537120.039,0.011,-0.04,1.014,0.669,-0.218,0.406,0.762568492333141,9.7673209457591,-47.0553747809684
537139.142,0.011,-0.04,1.014,0.669,-0.218,0.406,1.13163357939032,8.69844258622705,-46.2018259775369
537198.82,0.01,-0.043,1.029,0.63,-0.393,0.183,1.13163357939032,8.69844258622705,-46.2018259775369
537238.425,0.01,-0.043,1.029,0.63,-0.393,0.183,1.43620595613372,8.69699417013601,-46.933439237621
537279.656,0.006,-0.035,1.012,1.356,0.94,0.402,1.43620595613372,8.69699417013601,-46.933439237621
537335.663,0.006,-0.035,1.012,1.356,0.94,0.402,1.43232215680409,9.76756234844095,-46.933439237621
537358.439,0.006,-0.038,1.009,3.346,0.525,0.013,1.43232215680409,9.76756234844095,-46.933439237621
537434.941,0.006,-0.038,1.009,3.346,0.525,0.013,0.949765898849423,8.48408754788422,-46.3237615208842
537437.218,0.007,-0.021,1.028,7.726,0.525,-0.135,0.949765898849423,8.48408754788422,-46.3237615208842
537517.819,0.006,-0.009,1.014,10.548,2.686,-0.581,0.949765898849423,8.48408754788422,-46.3237615208842
537534.863,0.006,-0.009,1.014,10.548,2.686,-0.581,1.31982293194474,7.19868152587278,-46.6895681509263
537596.597,-0.001,0,1.014,10.456,2.528,-0.91,1.31982293194474,7.19868152587278,-46.6895681509263
537634.142,-0.001,0,1.014,10.456,2.528,-0.91,1.63488261170114,4.20398745880104,-45.2263416307581
537677.428,-0.004,0.021,1.018,13.685,2.323,-1.281,1.63488261170114,4.20398745880104,-45.2263416307581
537731.371,-0.004,0.021,1.018,13.685,2.323,-1.281,1.26978739844248,4.2013320293008,-46.5676326075789
537756.209,-0.006,0.041,1.018,18.195,3.574,-1.636,1.26978739844248,4.2013320293008,-46.5676326075789
537830.66,-0.006,0.041,1.018,18.195,3.574,-1.636,0.976823382453536,0.991558715840717,-45.5921482608001
537837.036,-0.01,0.067,1.007,24.263,5.14,-1.658,0.976823382453536,0.991558715840717,-45.5921482608001
537915.588,-0.018,0.119,0.988,21.787,1.776,-1.426,0.976823382453536,0.991558715840717,-45.5921482608001
537930.581,-0.018,0.119,0.988,21.787,1.776,-1.426,0.620748026944903,-1.57708070404561,-45.2263416307581
537994.368,-0.017,0.124,1.011,23.388,0.262,-2.769,0.620748026944903,-1.57708070404561,-45.2263416307581
538029.866,-0.017,0.124,1.011,23.388,0.262,-2.769,0.990718985571336,-2.86152111532969,-45.1044060874107
538075.208,-0.018,0.166,1.021,24.683,1.771,-2.043,0.990718985571336,-2.86152111532969,-45.1044060874107
538129.156,-0.018,0.166,1.021,24.683,1.771,-2.043,0.463586031793116,-8.64138226476714,-44.4947283706739
538153.993,-0.031,0.217,1.008,30.275,5.32,-2.06,0.463586031793116,-8.64138226476714,-44.4947283706739
538226.387,-0.031,0.217,1.008,30.275,5.32,-2.06,0.607026539586214,-14.6355984525474,-44.0069861972845
538234.814,-0.038,0.26,0.972,43.561,9.73,-4.077,0.607026539586214,-14.6355984525474,-44.0069861972845
538313.367,-0.055,0.327,0.951,48.685,9.913,-5.971,0.607026539586214,-14.6355984525474,-44.0069861972845
538326.313,-0.055,0.327,0.951,48.685,9.913,-5.971,0.681380423367611,-18.483850230081,-41.0805331569481
538394.207,-0.065,0.361,0.924,46.799,6.496,-6.838,0.681380423367611,-18.483850230081,-41.0805331569481
538425.603,-0.065,0.361,0.924,46.799,6.496,-6.838,-0.281509406030048,-21.6919337247682,-39.2515000067378
538472.989,-0.078,0.43,0.922,36.653,3.911,-2.48,-0.281509406030048,-21.6919337247682,-39.2515000067378
538524.884,-0.078,0.43,0.922,36.653,3.911,-2.48,-0.452567004299634,-24.9031554543193,-39.0076289200431
